Chosen_category,Complaint Description,Predicted category 1,Predicted category 2,Predicted category 3
Bad Patches,Location: 3rd A Cross  6th F Main  near the temple beside Lumina Stars School  Gaurvnagar  J P Nagar 7th Phase.    The road in middle is going down. It is a very old problem. Sometime back somebody repaired it by filling mud and sand. Now due to the recent rain  middle of the road is going down  making it difficult for pedestrians and motorists/two wheelers to drive.  Two wheelers try to avoid the middle portion  which makes pedestrian walking risky. Request urgent repair.,Bad Patches,Repair to damaged open SWD,Major repairs to municipal property
Minor repairs to municipal property,There are too many stray dogs in my locality. I would like to bring it to the attention of BBMP.,Minor repairs to municipal property,Drainage chokes and blockages,Person falling in Manhole
Minor repairs to municipal property,There is an increase in number of stray dogs attacking / showing aggressive behavior near the locality where I stay. I would like BBMP to look into this issue.,Minor repairs to municipal property,Drainage chokes and blockages,Person falling in Manhole
Unauthorised Food Selling   Preparation,The sewage / storm water drain at the turn of the road  leading to the  residential gated communities like Rohan ashima  Orchid Woods Orange Tree  repeatedly gets into overflow mode with heavy rains  the stench is unbearable and the clogged areas dont seem to be getting any long term corrective action. The heavy downpour of Wed-thur in this week  has once again proved this shortchanging by the BBMP to a community that pays it taxes year after year.,Unauthorised Food Selling   Preparation,Hawkers,Municipal Land - Road   Footpath   Strom Water Drain
Bad Patches,The stretch of service road from Marathalli Bridge   till its intersection to ORR  towards Panathur is full of large + deep craters  half filled potholes  and humps  making it unsafe for motorists. Adding to the woes of just half lane being available  several vehicles are parked  making it a nightmare.,Bad Patches,Municipal Land - Road   Footpath   Strom Water Drain,Person falling in Manhole
Drainage chokes and blockages,There is no garbage bin available currently in and around my area (JP Nagar 3rd phase near Sai baba temple). There is only one cart that comes early in morning but as I work in night shift  it becomes difficult to get rid of the garbage.\nIf I leave the garbage outside stray dogs create all mess. \n\nPlease get it resolved asap.,Drainage chokes and blockages,Silt to be lifted on road,Collection point not attended properly
Municipal Land - Road   Footpath   Strom Water Drain,When the authorities laid the footpath and blacktop wear coat they have not thought of how the water from the road top flows as a result \n1. after rains for next three or four days there is mud puddle. there is no service to clean it\n2. when rains come there is no way water can flow into drains resulting into artificial floods in to houses.,Municipal Land - Road   Footpath   Strom Water Drain,Drainage chokes and blockages,Unauthorised construction development
Bad Patches,NGEF Road coming on to Old Madras Road: There are no markings for a stop line  or pedestrian crossing  on NGEF road. Since there is no stop line marked  the stop line is up to the imagination of impatient drivers. During the absence of a police person  the impatient drivers encroach and fill the slowest lane of Old Madras Road (OMR). This makes it hard for a \nmotorist travelling east on the slowest (leftmost) lane (OMR)  who must change over the middle east-bound OMR lane. Further  if the lights just change from green to red (there appears to be a very short change-over time I noted few weeks ago)  on east-bound OMR  slowest lane  the impatient drivers on NGEF road already proceed in south direction. This makes chances of an accident very high.\n\nACTION NEEDED:\n 1. Draw stop line  pedestrian crossing lines  on South-bound NGEF road.\n 2. Check traffic light switch-over timings (when in automatic mode) at NGEF/OMR intersection.\n\nBEBEFIT:\n 1. Makes it better for pedestrians  East bound traffic on OMR  and for police to manage.\n 2. Safety/accident prevention.\n\n(If someone has photos they can load of the intersection  it will be very helpful)\n\nThank you.,Bad Patches,Drainage chokes and blockages,Municipal Land - Road   Footpath   Strom Water Drain
Unauthorised Food Selling   Preparation,This is the pavement right outside where I live  I use it pretty much everyday as I need to drop my 2 year old to school. Unfortunately  yesterday I had a fall  I am 6 months pregnant. I have created this video to get the attention of our government  especially Mr. Siddaramaiah. This is old Airport Road  between Golden Enclave and Manipal Hospital.\n\nhttps://www.youtube.com/watch?v=sKFFn2gQLU4,Unauthorised Food Selling   Preparation,Hawkers,Municipal Land - Road   Footpath   Strom Water Drain
Drainage chokes and blockages,During yesterday\'s heavy rain  water accumulated in roughly 40% of Tin Factory foot-over-bridge (FOB).\n\nKindly level the floor of tin factory FOB  so that water does not accumulate there.\n\nThis way  more people can walk  or stand  comfortably on tin factory FOB  during  and after  a heavy rain-storm.,Drainage chokes and blockages,Heavy leakage from ceiling,Minor repairs to municipal property
Private Land   Building   Society   Factories,Despite the mostly one  or two  guards  people can still end up in the tracks either by design  or by accident  when a metro train comes.\n(The situation is not very different than this week\'s tragic Delhi Zoo incident). The risk of people falling into the track is higher when more people start using the metro.\n\nShould/when this happens  the only thing an ordinary guard is most likely to do is to blow his whistle. I do not believe the ordinary guards \nare trained to  or will be inclined to  get on an electrified track on the path of an oncoming train to save someone. Prevention is the best way. \nMechanisms are available to make it hard for people to jump or fall to the track altogether. Examples of automated barriers  used in the Singapore Metro  are attached. Bangalore Metro can take the lead  and set example in safety. It is better to install prevention mechanisms sooner  than later.\n\nMentioning for Byappanahalli Metro Station. Applicable to ALL metro stations.\n\nAction Needed:\n Install automated barriers to prevent track access by commuters.\n\nBenefit:\n Will prevent any tragic  or close call  events on Bangalore metro tracks.,Private Land   Building   Society   Factories,Unauthorised Stalls and Huts on nallas,Drainage chokes and blockages
